,AD,Full-flowering date (DOY),Full-flowering date,Source code,Data type code,Reference Name,trendline_degree1,trendline_degree2,trendline_degree3,trendline_degree4
11,812,92,401,1,2,NIHON-KOKI,105.57416228341648,99.92223590914793,105.30074513525476,95.96026896728432
14,815,105,415,1,2,NIHON-KOKI,105.56962157670011,99.98096557164385,105.24241742562828,96.23538523872315
30,831,96,406,1,2,NIHON-KOKI,105.54540447421283,100.28945241156629,104.94778071081011,97.61288751354465
50,851,108,418,1,2,MONTOKUTENNO-JITSUROKU,105.51513309610374,100.66383931923184,104.6174267138538,99.13266021987846
52,853,104,414,1,2,MONTOKUTENNO-JITSUROKU,105.51210595829282,100.70059224297279,104.58665012145644,99.27290312151041
63,864,100,409,1,2,NIPPON-SANDAI-JITSUROKU,105.49545670033281,100.90050458071465,104.42455102827971,100.00780447116716
65,866,106,416,1,2,NIPPON-SANDAI-JITSUROKU,105.4924295625219,100.93644705251621,104.39636853235571,100.1349368551434
68,869,95,405,5,2,KANKE-BUNSOU,105.48788885580554,100.99012697600527,104.35483046464662,100.32197796341092
88,889,104,414,5,2,NIPPON-SANDAI-JITSUROKU,105.45761747769645,101.34082375005842,104.10005900423499,101.46073649825559
90,891,109,419,5,4,NIHONKIRYAKU,105.45459033988553,101.37520766043811,104.07666107301641,101.56464033274034
91,892,108,417,5,3,FUSHIMIIN-GOKIROKKU,105.45307677098008,101.3923528587853,104.06510140158346,101.61593562110414
93,894,106,416,5,2,KANKE-BUNSOU,105.45004963316916,101.42654974179436,104.04225957295256,101.7172229395349
94,895,104,414,5,4,NIHONKIRYAKU,105.4485360642637,101.44360142645624,104.03097698610753,101.7672189575839
95,896,104,413,5,4,NIPPON-SANDAI-JITSUROKU,105.44702249535825,101.46062193988968,104.01978633114474,101.8167858669546
101,902,102,412,5,8,EST-from-WF(NIHONGI-RYAKU),105.43794108192553,101.56209042469314,103.954560940777,102.10528687831476
107,908,98,407,5,8,EST-from-WF(KIMITADA-SHU),105.42885966849279,101.66243674527284,103.89259096263882,102.37883659759717
111,912,95,404,1,2,SHINGISHIKI,105.42280539287097,101.72871086775723,103.85306329171937,102.55310467056648
112,913,110,420,5,2,SHUI-WAKASHU,105.42129182396552,101.74520147030724,103.84340261075367,102.59567709828667
116,917,95,405,1,2,KINHISHO,105.4152375483437,101.81085216822288,103.80563838924151,102.7620459654907
122,923,104,414,5,4,ZOKU-KOKIN-WAKASHU,105.40615613491097,101.90839307824322,103.75160393343626,103.00004601336781
125,926,98,408,1,2,NIHONKIRYAKU,105.4016154281946,101.95674272166949,103.72574948276514,103.11395756592464
129,930,97,407,5,8,EST-from-WF(SHIRYO-SORAN),105.39556115257278,102.02077251570637,103.69246969229738,103.26067627317599
132,933,106,416,5,8,EST-from-WF(SHIRYO-SORAN),105.39102044585641,102.06846756333546,103.66839693844312,103.36690775216965
140,941,109,419,1,2,NIHONKIRYAKU,105.37891189461278,102.19428282296175,103.60787299230624,103.6346407350199
148,949,107,417,1,2,NIHONKIRYAKU,105.36680334336914,102.31810312396806,103.55260024614398,103.88049021630519
149,950,95,405,4,2,DAINIHON-SHIRYO,105.36528977446368,102.33344039106588,103.54605489987176,103.90972852374608
154,955,89,330,5,4,SHUISHO,105.3577219299364,102.40965915812842,103.5145256208567,104.05106802925133
156,957,112,422,1,2,NIHONKIRYAKU,105.3546947921255,102.43992846635437,103.50246871030619,104.10537238356159
157,958,109,419,1,2,NIHONKIRYAKU,105.35318122322005,102.4550163636247,103.49655828167724,104.13205339367045
158,959,97,407,3,2,KYUREKI,105.35166765431458,102.47007308966658,103.49072625104779,104.15842261406709
159,960,101,410,3,2,KYUREKI,105.35015408540913,102.48509864448002,103.48497240359433,104.18448178107195
160,961,87,328,1,2,NIHONKIRYAKU,105.34864051650368,102.50009302806504,103.47929652449328,104.21023262707291
162,963,94,404,1,2,NIHONKIRYAKU,105.34561337869276,102.52998828154973,103.46817781205431,104.26081626594254
164,965,104,414,1,2,NIHONKIRYAKU,105.34258624088186,102.55975885012069,103.45736839514265,104.31018731109617
165,966,98,408,1,2,NIHONKIRYAKU,105.3410726719764,102.57459737756352,103.45207913545072,104.33442240020025
166,967,103,413,1,2,NIHONKIRYAKU,105.33955910307094,102.5894047337779,103.44686655516998,104.35835948001244
168,969,98,408,5,4,NIHONKIRYAKU,105.33653196526004,102.61892593252136,103.43667057354806,104.4053464272277
171,972,107,416,5,8,EST-from-WF(SHIRYO-SORAN),105.33199125854367,102.66297394642325,103.42194632611087,104.47363427176168
173,974,108,418,1,2,NIHONKIRYAKU,105.32896412073276,102.69218343288233,103.412507471542,104.51771749026062
174,975,101,411,5,2,NIHONKIRYAKU,105.32745055182731,102.70674141926922,103.40790059290373,104.53933153989334
176,977,112,422,2,2,FUSO-RYAKKI,105.3244234140164,102.73576387835767,103.39891085880184,104.58171288681905
178,979,104,414,4,3,DAINIHON-SHIRYO,105.32139627620549,102.7646616525324,103.39021839010925,104.62297634058956
184,985,94,404,4,2,SHOYUKI,105.31231486277275,102.85060686557401,103.36590739060443,104.7401917970829
188,989,100,410,4,2,SHOYUKI,105.30626058715093,102.90728024969968,103.35115487719585,104.8129877000178
190,991,104,414,7,1,EIGA-MONOGATARI(MIHATENUYUME),105.30323344934003,102.93542991439189,103.34420991060513,104.84782040640624
199,1000,105,415,3,2,MIDO-KAMPAKUKI,105.28961132919093,103.06056042969918,103.3164625355584,104.99205216608954
203,1004,117,426,3,2,MIDO-KAMPAKUKI,105.28355705356911,103.11536354011861,103.30594343857707,105.04978795895084
205,1006,100,410,1,2,NIHONKIRYAKU,105.2805299157582,103.14257806795769,103.30109584608172,105.07723366132944
206,1007,106,416,5,4,MIDO-KAMPAKUKI,105.27901634685274,103.15613857503459,103.29877428695053,105.09060641121556
213,1014,115,425,5,2,DAI-SAIIN-GYOSHU,105.26842136451455,103.25018933017655,103.2844117490094,105.17782440993557
215,1016,111,420,2,2,MIDO-KAMPAKUKI,105.26539422670365,103.27678043344689,103.28090870002715,105.20073543088762
216,1017,99,409,3,2,MIDO-KAMPAKUKI,105.2638806577982,103.2900292282394,103.27925619029945,105.21186380660669
217,1018,113,423,2,2,MIDO-KAMPAKUKI,105.26236708889274,103.30324685180348,103.27766940398264,105.22277610467285
218,1019,98,408,4,2,SHOYUKI,105.26085351998728,103.31643330413912,103.27614812625322,105.23347382930757
228,1029,116,426,1,2,REKIDAI-HENNEN-SHUSEI,105.24571783093273,103.44658340993145,103.26449106008648,105.328977652927
230,1031,97,407,4,2,SHOYUKI,105.24269069312183,103.47223937634867,103.262924267548,105.34565196414036
231,1032,111,420,5,2,NIHONKIRYAKU,105.24117712421636,103.48502060271463,103.26223505251265,105.3536953284019
232,1033,102,412,5,4,NIHONKIRYAKU,105.23966355531091,103.49777065785213,103.26160833853517,105.36154476527435
233,1034,96,406,5,8,EST-from-WF(EIGA-MONOGATARI),105.23814998640546,103.51048954176122,103.26104391079204,105.36920171997082
235,1036,104,413,5,4,NIHONKIRYAKU,105.23512284859454,103.53583379589406,103.26010105471461,105.38394394401763
240,1041,103,413,1,2,FUSO-RYAKKI,105.22755500406727,103.59864893472852,103.25881888597446,105.41753147369292
245,1046,103,413,7,1,EIGA-MONOGATARI(NEAWASE),105.21998715954,103.66068479285202,103.25905090838565,105.44659225438255
247,1048,112,421,6,3,IETSUNE-ASON-SHU,105.2169600217291,103.68528093750237,103.25956167581347,105.45698841388122
249,1050,105,415,7,2,EIGA-MONOGATARI(NEAWASE),105.21393288391818,103.70975239723897,103.26030869876655,105.46669946525759
259,1060,108,417,5,4,SHIN-SENZAI-WAKASHU,105.19879719486363,103.8302394222157,103.26752749582016,105.50536238240073
260,1061,92,402,6,4,MOROZANE-SHU,105.19728362595818,103.84211668295697,103.26856359310767,105.50835423443976
